mso:local.entity	local:local.entity.aggregate_rating	mso:type.decimal
mso:application.software_version	mso:application.software_version.target_carrier	mso:application.telecom_carrier
mso:common.entity_ranking	mso:common.entity_ranking.triggered	mso:type.boolean
mso:medicine.drug	mso:medicine.drug.marketed_formulation	mso:medicine.drug_formulation
mso:book.online_edition	mso:book.online_edition.pdf	mso:common.webpage
mso:common.text	mso:common.text.formatted	mso:type.boolean
mso:automotive.transmission	mso:automotive.transmission.select_shift	mso:type.boolean
mso:media_common.unfinished_work	mso:media_common.unfinished_work.completion_of_unfinished_work	mso:media_common.completion_of_unfinished_work
mso:automotive.transmission_type	mso:automotive.transmission_type.transmission	mso:automotive.transmission
mso:opera.recording	mso:opera.recording.opera	mso:opera.opera
mso:film.showtime	mso:film.showtime.view_showtime	mso:event.view_action
mso:education.test_score	mso:education.test_score.test	mso:type.text
mso:commerce.digital_camera_digital_zoom_capability	mso:commerce.digital_camera_digital_zoom_capability.magnification	mso:type.decimal
mso:biology.pedigreed_animal	mso:biology.pedigreed_animal.grandsire	mso:biology.pedigreed_animal
mso:law.constitutional_convention	mso:law.constitutional_convention.constitutional_convention_delegate	mso:event.agent
mso:aviation.airport	mso:aviation.airport.number_of_passengers	mso:measurement_unit.dated_integer
mso:location.location	mso:location.location.highest_elevation	mso:type.decimal
mso:american_football.season_defensive_statistics	mso:american_football.season_defensive_statistics.sacks	mso:type.decimal
mso:astronomy.asteroid_group	mso:astronomy.asteroid_group.asteroid_group_founding_member	mso:astronomy.asteroid
experimental:fb_schema_staging.previous_name	experimental:fb_schema_staging.previous_name.from	mso:type.datetime
mso:statistics.government_group	mso:statistics.government_group.gender_balance_parliament	mso:measurement_unit.dated_percentage
mso:organization.non_profit_organization	mso:organization.non_profit_organization.donate_mail	mso:location.address
mso:award.competition	mso:award.competition.competitor	mso:award.competitor
mso:government.election_poll	mso:government.election_poll.taken_by	mso:government.polling_authority
mso:time.recurring_event	mso:time.recurring_event.range_begin_day	mso:time.day_of_year
mso:statistics.education_group	mso:statistics.education_group.gross_preprimary_enrollment	mso:measurement_unit.dated_percentage
mso:common.license	mso:common.license.version	mso:type.text
exp:eu_type.object	exp:eu_type.object.type	mso:type.type
local:local.venue	local:local.venue.type	mso:type.string
mso:astronomy.celestial_object_category	mso:astronomy.celestial_object_category.subcategory_of	mso:astronomy.celestial_object_category
mso:baseball.batting_statistics	mso:baseball.batting_statistics.ibbs	mso:type.decimal
mso:meteorology.cyclone_affected_area	mso:meteorology.cyclone_affected_area.cyclones	mso:meteorology.tropical_cyclone
mso:business.competitive_space	mso:business.competitive_space.industry	mso:business.industry
mso:book.edition	mso:book.edition.interior_illustrations_by	mso:book.illustrator
mso:measurement_unit.electric_charge_density_unit	mso:measurement_unit.electric_charge_density_unit.density_in_coulombs_per_cubic_meter	mso:type.decimal
mso:internet.social_network_user	mso:internet.social_network_user.followers	mso:type.decimal
experimental:fb_schema_staging.election_extra	experimental:fb_schema_staging.election_extra.preceded_by	experimental:fb_schema_staging.election_extra
mso:location.us_county	mso:location.us_county.hud_section_8_area	mso:location.location
experimental:fb_schema_staging.context_name	experimental:fb_schema_staging.context_name.chemistry	mso:type.text
experimental:fb_schema_staging.onet_concept	experimental:fb_schema_staging.onet_concept.reported_titles	experimental:fb_schema_staging.onet_job_title
mso:american_football.player_passing_statistics	mso:american_football.player_passing_statistics.sacks	mso:type.decimal
mso:computer.programming_language_paradigm	mso:computer.programming_language_paradigm.languages	mso:computer.programming_language
mso:basketball.player_stats	mso:basketball.player_stats.three_fga	mso:type.decimal
mso:american_football.player	mso:american_football.player.career_wins	mso:type.decimal
mso:local.accommodation	dev:local.accommodation.price_range_free_text	mso:type.text
local:local.photo	local:local.photo.photo_url	mso:type.uri
mso:law.patent	mso:law.patent.examiner	mso:law.patent_examiner_relationship
mso:basketball.player_stats	mso:basketball.player_stats.average_points	mso:type.decimal
mso:local.entity	dev:local.entity.contact	dev:local.contact
mso:award.honor	mso:award.honor.winning_work	mso:award.winning_work
mso:spaceflight.spacecraft	mso:spaceflight.spacecraft.dry_mass	mso:type.decimal
mso:event.agent	mso:event.agent.operator	mso:common.operator_relationship
mso:business.operation	mso:business.operation.assets_under_management	mso:measurement_unit.dated_money_value
mso:commerce.speaker	mso:commerce.speaker.diameter	mso:type.string
mso:transportation.port	mso:transportation.port.annual_cargo_vessels	mso:measurement_unit.dated_float
mso:astronomy.star	mso:astronomy.star.radius	mso:type.decimal
mso:cvg.computer_videogame	mso:cvg.computer_videogame.online_reviews	mso:common.webpage
mso:education.educational_institution	mso:education.educational_institution.athletics_brand	mso:education.athletics_brand
mso:common.media_object	mso:common.media_object.availability	mso:measurement_unit.time_interval
mso:commerce.electronics_product	mso:commerce.electronics_product.analog_resolution	mso:type.decimal
mso:chemistry.isotope	mso:chemistry.isotope.isotope_of	mso:chemistry.chemical_element
mso:biology.animal	mso:biology.animal.gestation_period	mso:measurement_unit.qualified_value
mso:people.profession	mso:people.profession.dated_projected_openings	mso:measurement_unit.dated_float
mso:biology.breed_registry	mso:biology.breed_registry.recognized_breed	mso:biology.breed_registration
mso:american_football.game	mso:american_football.game.away_team	mso:american_football.team
mso:computer.os_compatibility	mso:computer.os_compatibility.operating_system	mso:computer.operating_system
mso:book.written_work	mso:book.written_work.accelerated_reading_points	mso:type.decimal
mso:olympics.participating_country	mso:olympics.participating_country.ioc_code	mso:type.string
mso:sports.official_tenure	mso:sports.official_tenure.from_date	mso:type.datetime
mso:music.concert	mso:music.concert.cost	mso:measurement_unit.dated_money_value
mso:biology.hybrid_parent_classification	mso:biology.hybrid_parent_classification.hybrids	mso:biology.hybrid_parentage
experimental:fb_schema_staging.athlete_salary	experimental:fb_schema_staging.athlete_salary.salary	mso:measurement_unit.dated_float
mso:astronomy.meteor_shower_occurrence	mso:astronomy.meteor_shower_occurrence.observation_ends	mso:type.datetime
mso:engineering.wind_turbine	mso:engineering.wind_turbine.wind_turbine_type	mso:engineering.wind_turbine_type
mso:sports.facility	mso:sports.facility.teams	mso:sports.team
mso:statistics.education_group	mso:statistics.education_group.primary_trained_teachers	mso:measurement_unit.dated_percentage
mso:measurement_unit.electric_field_strength_unit	mso:measurement_unit.electric_field_strength_unit.measurement_system	mso:measurement_unit.measurement_system
mso:application.software	mso:application.software.tag	mso:type.string
mso:law.attorney_business_relationship	mso:law.attorney_business_relationship.email	mso:common.email_address
mso:medicine.drug	mso:medicine.drug.routed_drug_of	mso:medicine.drug
mso:boxing.boxer	mso:boxing.boxer.stance	mso:boxing.stance
mso:sports.sports_position	mso:sports.sports_position.player	mso:sports.sports_team_roster
mso:american_football.season_defensive_statistics	mso:american_football.season_defensive_statistics.interception_touchdowns	mso:type.decimal
mso:automotive.make	mso:automotive.make.model	mso:automotive.model
mso:broadcast.tv_station	mso:broadcast.tv_station.callsign_meaning	mso:type.text
mso:transportation.routable_structure	mso:transportation.routable_structure.carries	mso:type.text
mso:event.watch_video_action	mso:event.watch_video_action.tv_program	mso:tv.program
mso:commerce.consumer_product	mso:commerce.consumer_product.view_details	mso:event.view_action
mso:architecture.structure	mso:architecture.structure.architect	mso:architecture.architect
mso:internet.author	mso:internet.author.related_author	mso:internet.author
experimental:fb_schema_staging.phone_open_times	experimental:fb_schema_staging.phone_open_times.sunday_open_time	mso:type.datetime
mso:engineering.piston_engine	mso:engineering.piston_engine.valves_per_cylinder	mso:type.decimal
mso:baseball.lifetime_batting_statistics	mso:baseball.lifetime_batting_statistics.batting_average	mso:type.decimal
mso:event.event_promoter	mso:event.event_promoter.events_promoted	mso:event.promoted_event
experimental:fb_schema_staging.written_work_author_credit	experimental:fb_schema_staging.written_work_author_credit.from	mso:type.datetime
mso:book.online_edition	mso:book.online_edition.epub	mso:common.webpage
mso:automotive.model	mso:automotive.model.similar	mso:automotive.model
mso:medicine.symptom	mso:medicine.symptom.medline_plus	mso:common.webpage
mso:adult.porn_star_category_relationship	mso:adult.porn_star_category_relationship.total_videos	mso:type.decimal
mso:automotive.engine	mso:automotive.engine.fuel_delivery	mso:automotive.fuel_delivery_method
mso:education.school	conflation:education.school.longitude	mso:type.string
mso:basketball.player_career_stats	mso:basketball.player_career_stats.average_turnovers	mso:type.decimal
mso:application.software	mso:application.software.primary_category	mso:application.category
mso:business.industry	mso:business.industry.child_industry	mso:business.industry
experimental:fb_schema_staging.seats_received	experimental:fb_schema_staging.seats_received.votable_entity	experimental:fb_schema_staging.votable_entity
mso:statistics.rented_housing_type	mso:statistics.rented_housing_type.bedrooms	mso:type.decimal
mso:food.tea_type	mso:food.tea_type.tea	mso:food.tea
mso:book.newspaper_circulation	mso:book.newspaper_circulation.edition	mso:book.newspaper_edition_type
mso:automotive.automobile_accident	mso:automotive.automobile_accident.model	mso:automotive.model
mso:medicine.biological_sample	mso:medicine.biological_sample.collection_date	mso:type.datetime
mso:biology.animal_breed	mso:biology.animal_breed.average_weight	mso:biology.breed_average_weight
mso:chemistry.chemical_compound	mso:chemistry.chemical_compound.solubility	mso:chemistry.solubility_relationship
mso:biology.organism_classification	mso:biology.organism_classification.scientific_name	mso:type.text
mso:baseball.coaching_position	mso:baseball.coaching_position.current_coaches	mso:baseball.current_coaching_tenure
mso:interests.collectable_item	mso:interests.collectable_item.release_date	mso:type.datetime
mso:measurement_unit.measurement_system	mso:measurement_unit.measurement_system.wavenumber_units	mso:measurement_unit.wavenumber_unit
mso:book.edition_series	mso:book.edition_series.edition	mso:book.edition
mso:measurement_unit.luminous_flux_unit	mso:measurement_unit.luminous_flux_unit.measurement_system	mso:measurement_unit.measurement_system
mso:amusement_parks.park	mso:amusement_parks.park.opened	mso:type.datetime
experimental:fb_schema_staging.concept_developer_relationship	experimental:fb_schema_staging.concept_developer_relationship.developer	experimental:fb_schema_staging.concept_developer
mso:tv.program	mso:tv.program.spun_off_from	mso:tv.program
local:local.offer_group	local:local.offer_group.has_commerce_offers	mso:type.boolean
experimental:fb_schema_staging.onet_concept	experimental:fb_schema_staging.onet_concept.work_context	experimental:fb_schema_staging.onet_work_context_concept
mso:medicine.imaging_test	mso:medicine.imaging_test.imaging_technique	mso:medicine.medical_imaging_technique
mso:fictional_universe.language	mso:fictional_universe.language.spoken_by	mso:fictional_universe.character_species
mso:skiing.ski_area	mso:skiing.ski_area.closest_city	mso:location.populated_place
mso:amusement_parks.disney_ride_ticket_membership	mso:amusement_parks.disney_ride_ticket_membership.to	mso:type.datetime
mso:award.ranked_item	mso:award.ranked_item.ranking	mso:award.ranking
mso:automotive.trim_level	mso:automotive.trim_level.right_steering_diameter_in_m	mso:type.decimal
mso:music.track	mso:music.track.featured_artist	mso:music.artist
mso:measurement_unit.recurring_money_value	mso:measurement_unit.recurring_money_value.currency	mso:finance.currency
mso:government.election_results	mso:government.election_results.candidate	mso:government.politician
mso:government.legislative_committee	mso:government.legislative_committee.subcommittee_of	mso:government.legislative_committee
mso:astronomy.galaxy_classification_code	mso:astronomy.galaxy_classification_code.galactic_shape	mso:astronomy.galactic_shape
mso:engineering.engine_cooling_method	mso:engineering.engine_cooling_method.engines	mso:engineering.piston_engine
mso:award.nomination	mso:award.nomination.ceremony	mso:award.ceremony
mso:biology.breed_registry	mso:biology.breed_registry.breed_groups	mso:biology.breed_group
mso:language.family	mso:language.family.iso_639_coding	mso:language.iso_639_coding
mso:tennis.player	mso:tennis.player.career_wins_doubles	mso:type.decimal
mso:fictional_universe.character	mso:fictional_universe.character.height	mso:type.decimal
mso:commerce.brand_color	mso:commerce.brand_color.color	mso:visual_art.color
mso:boxing.boxer	mso:boxing.boxer.reach	mso:type.decimal
mso:royalty.order_of_chivalry	mso:royalty.order_of_chivalry.founder	mso:royalty.chivalric_order_founder
mso:american_football.season_defensive_statistics	mso:american_football.season_defensive_statistics.assisted_tackles	mso:type.decimal
mso:travel.cruise	mso:travel.cruise.cruise_line	mso:business.operation
mso:book.journal_publication	mso:book.journal_publication.journal	mso:book.journal
mso:government.governmental_body	mso:government.governmental_body.committees	mso:government.legislative_committee
mso:list.list_item	mso:list.list_item.date_off_list	mso:type.datetime
mso:rail.locomotive	mso:rail.locomotive.first_run_date	mso:type.datetime
mso:education.proficiency	mso:education.proficiency.academic_field	mso:education.field_of_study
mso:conferences.entity	mso:conferences.entity.webpage	mso:common.webpage
mso:broadcast.program_show_time	mso:broadcast.program_show_time.start_time	mso:type.datetime
mso:engineering.battery_size_cell_variation	mso:engineering.battery_size_cell_variation.voltage	mso:type.decimal
mso:skiing.terrain_park_breakdown	mso:skiing.terrain_park_breakdown.number_rails	mso:type.decimal
mso:biology.fossil_specimen	mso:biology.fossil_specimen.discovered_by	mso:people.person
mso:computer.computer_standard	mso:computer.computer_standard.latest_version	mso:type.datetime
mso:local.restaurant	dev:local.restaurant.atmosphere_free_text	mso:type.text
mso:education.college_readiness	mso:education.college_readiness.score	mso:type.decimal
experimental:fb_schema_staging.cricket_roster	experimental:fb_schema_staging.cricket_roster.team	experimental:fb_schema_staging.cricket_team_extra
mso:cricket.bowler_stats	mso:cricket.bowler_stats.overs	mso:type.decimal
mso:cvg.musical_game_song_relationship	mso:cvg.musical_game_song_relationship.platform	mso:cvg.platform
mso:book.author	mso:book.author.subdomain	mso:book.subdomain
mso:event.join_action	mso:event.join_action.organization	mso:organization.organization
mso:local.entity	dev:local.entity.operating_hour_free_text	mso:type.text
mso:event.speech_or_presentation	mso:event.speech_or_presentation.track	mso:music.track
mso:ratings.review_sentiment	mso:ratings.review_sentiment.aspect_start	mso:type.decimal
mso:meteorology.cloud_classification	mso:meteorology.cloud_classification.clouds	mso:meteorology.cloud
mso:amusement_parks.ride	mso:amusement_parks.ride.max_speed	mso:type.decimal
experimental:fb_schema_staging.holiday_same_day_same_week_observance_rule	experimental:fb_schema_staging.holiday_same_day_same_week_observance_rule.week_in_month	experimental:fb_schema_staging.week_in_month
mso:american_football.game_passing_statistics	mso:american_football.game_passing_statistics.player	mso:american_football.player
mso:transportation.port	mso:transportation.port.number_berths	mso:measurement_unit.dated_float
mso:comic_books.story	mso:comic_books.story.inker	mso:comic_books.inker
mso:local.entity	dev:local.entity.payment_method	dev:local.payment_method_enum
mso:architecture.engineer	mso:architecture.engineer.structure	mso:architecture.structure
mso:music.album	mso:music.album.next_album	mso:music.album
mso:law.legal_case	mso:law.legal_case.related_action	mso:law.legal_case
mso:astronomy.astronomical_survey_project_organization	mso:astronomy.astronomical_survey_project_organization.celestial_objects_discovered	mso:astronomy.astronomical_discovery
mso:american_football.roster_position	mso:american_football.roster_position.player	mso:american_football.player
mso:astronomy.astronomical_discovery	mso:astronomy.astronomical_discovery.discovery_organization	mso:astronomy.astronomical_survey_project_organization
mso:commerce.high_definition_video_mode	mso:commerce.high_definition_video_mode.resolution	mso:measurement_unit.screen_resolution
mso:aviation.aviation_incident_aircraft_relationship	mso:aviation.aviation_incident_aircraft_relationship.flight_origin	mso:aviation.airport
mso:american_football.player	mso:american_football.player.solo_tackles	mso:type.decimal
mso:biology.organism	mso:biology.organism.with_medical_condition	mso:medicine.disease
mso:book.keyword	mso:book.keyword.stemming_variation	mso:type.text
local:local.attribution	local:local.attribution.value	mso:type.text
experimental:fb_schema_staging.concept	experimental:fb_schema_staging.concept.date_of_origination	mso:type.datetime
experimental:fb_schema_staging.coach_athlete_relationship	experimental:fb_schema_staging.coach_athlete_relationship.athlete	experimental:fb_schema_staging.athlete_extra
mso:film.genre	mso:film.genre.film	mso:film.film
experimental:fb_schema_staging.organization_extra	experimental:fb_schema_staging.organization_extra.contact_webpage	mso:type.uri
mso:olympics.country_games_relationship	mso:olympics.country_games_relationship.medals_by_day	mso:olympics.medals_by_day
mso:adult.adult_website	mso:adult.adult_website.total_videos	mso:type.decimal
mso:astronomy.celestial_object_category	mso:astronomy.celestial_object_category.subcategories	mso:astronomy.celestial_object_category
mso:common.text	mso:common.text.webpage	mso:common.webpage
mso:fictional_universe.character	mso:fictional_universe.character.age	mso:measurement_unit.dated_float
mso:cvg.platform	mso:cvg.platform.games	mso:cvg.computer_videogame
mso:basketball.player_career_stats	mso:basketball.player_career_stats.player	mso:basketball.player
mso:education.test_score	mso:education.test_score.percentile	mso:type.decimal
mso:rail.railway_operator_relationship	mso:rail.railway_operator_relationship.to_date	mso:type.datetime
mso:biology.organism_classification	mso:biology.organism_classification.eol_taxon_id	mso:type.string
mso:automotive.trim_level	mso:automotive.trim_level.segment_category	mso:type.text
mso:biology.gene_ontology_data_source	mso:biology.gene_ontology_data_source.source_type	mso:type.string
mso:commerce.consumer_product	mso:commerce.consumer_product.release_date	mso:type.datetime
mso:baseball.lifetime_batting_statistics	mso:baseball.lifetime_batting_statistics.hit_by_pitch	mso:type.decimal
mso:american_football.player	mso:american_football.player.statistic_set	mso:sports.statistic_set
mso:computer.file_format	mso:computer.file_format.file_format_genre	mso:computer.file_format_genre
mso:commerce.digital_camera	mso:commerce.digital_camera.dpreview_detail_id	mso:type.string
mso:conferences.conference_series	mso:conferences.conference_series.type_of_conference	mso:conferences.type_of_conference
mso:automotive.trim_level	mso:automotive.trim_level.minimum_seating	mso:type.decimal
mso:automotive.automotive_class	mso:automotive.automotive_class.drivetrain	mso:automotive.driveline
mso:american_football.player_kicking_statistics	mso:american_football.player_kicking_statistics.field_goal_attempted	mso:type.decimal
mso:comic_books.issue	mso:comic_books.issue.issue_number	mso:type.decimal
mso:location.neighborhood	mso:location.neighborhood.median_home_list_price	mso:measurement_unit.dated_money_value
mso:opera.production	mso:opera.production.designers	mso:opera.designer_gig
experimental:fb_schema_staging.book_refactor_written_work	experimental:fb_schema_staging.book_refactor_written_work.school_or_movement	mso:book.school_or_movement
mso:local.entity	dev:local.entity.location_type	dev:local.location_type
mso:medicine.disease	mso:medicine.disease.diagnostic_test_sign_text	mso:common.text
mso:common.image	mso:common.image.geolocation	mso:location.geocode
mso:organization.ranking_relationship	mso:organization.ranking_relationship.date	mso:type.datetime
mso:adult.porn_star_category_relationship	mso:adult.porn_star_category_relationship.average_video_length	mso:type.decimal
mso:architecture.engineering_firm	mso:architecture.engineering_firm.project	mso:architecture.structure
mso:measurement_unit.pressure_unit	mso:measurement_unit.pressure_unit.measurement_system	mso:measurement_unit.measurement_system
mso:ice_hockey.player	mso:ice_hockey.player.shoot	mso:sports.handedness
local:local.offer_group	local:local.offer_group.has_commerce_hot_offers	mso:type.boolean
mso:automotive.engine	mso:automotive.engine.make	mso:automotive.make
mso:broadcast.radio_station_owner	mso:broadcast.radio_station_owner.radio_station	mso:broadcast.radio_station
mso:automotive.motorcycle_model	mso:automotive.motorcycle_model.trail	mso:type.decimal
mso:automotive.model_year	mso:automotive.model_year.generation	mso:automotive.generation
experimental:fb_schema_staging.aircraft_model_extra	experimental:fb_schema_staging.aircraft_model_extra.maximum_take_off_weight	mso:type.decimal
mso:games.game	mso:games.game.derived_from	mso:games.game
mso:government.position_held	mso:government.position_held.successor	mso:government.politician
mso:baseball.lifetime_batting_statistics	mso:baseball.lifetime_batting_statistics.strikeouts	mso:type.decimal
mso:medicine.medical_trial	mso:medicine.medical_trial.medical_trial_type	mso:medicine.medical_trial_type
mso:business.product_line	mso:business.product_line.themes	mso:business.product_theme
mso:adult.website_category_relationship	mso:adult.website_category_relationship.total_videos	mso:type.decimal
mso:commerce.digital_camera	mso:commerce.digital_camera.sensor_size	mso:commerce.digital_camera_sensor_size
mso:chemistry.chemical_element	mso:chemistry.chemical_element.chemical_series	mso:chemistry.chemical_series
mso:olympics.athlete_affiliation	mso:olympics.athlete_affiliation.athlete	mso:olympics.athlete
mso:biology.organism	mso:biology.organism.height_meters	mso:type.decimal
mso:commerce.cooking_unit	mso:commerce.cooking_unit.number_of_burners	mso:type.decimal
mso:computer.software	mso:computer.software.software_genre	mso:computer.software_genre
mso:music.conductor	mso:music.conductor.groups	mso:music.conducting_tenure
experimental:fb_schema_staging.plural_form	experimental:fb_schema_staging.plural_form.gender	experimental:fb_schema_staging.gender_group
mso:american_football.game_rushing_statistics	mso:american_football.game_rushing_statistics.game	mso:american_football.game
mso:media_common.audio_offer	mso:media_common.audio_offer.size	mso:type.decimal
mso:architecture.structure	mso:architecture.structure.opened	mso:type.datetime
mso:computer.emulator	mso:computer.emulator.peripheral	mso:computer.peripheral
mso:statistics.economic_group	mso:statistics.economic_group.net_inflows_portfolio_equity	mso:measurement_unit.dated_money_value
dev:local.accommodation_rate_detail	dev:local.accommodation_rate_detail.type	dev:local.accommodation_rate_detail_type
mso:internet.social_network_user	mso:internet.social_network_user.source_social_network	mso:internet.social_network
mso:olympics.games	mso:olympics.games.number_of_events	mso:type.decimal
experimental:fb_schema_staging.establishment	experimental:fb_schema_staging.establishment.parking	experimental:fb_schema_staging.parking_establishment
mso:education.residential_college	mso:education.residential_college.date_renovations_completed	mso:type.datetime
mso:broadcast.content	mso:broadcast.content.duration	mso:type.decimal
mso:baseball.pitching_season_statistics	mso:baseball.pitching_season_statistics.shutouts	mso:type.decimal
mso:commerce.electronics_product	mso:commerce.electronics_product.video_signal_generator	mso:type.string
experimental:fb_schema_staging.election_campaign_extra	experimental:fb_schema_staging.election_campaign_extra.end_date	mso:type.datetime
mso:american_football.game_passing_statistics	mso:american_football.game_passing_statistics.rating	mso:type.decimal
mso:basketball.team	mso:basketball.team.roster	mso:basketball.roster_position
mso:finance.expense_relationship	mso:finance.expense_relationship.agent	mso:event.agent
mso:music.opera_singer	mso:music.opera_singer.opera_roles	mso:opera.role
mso:medicine.medical_risk_estimator	mso:medicine.medical_risk_estimator.includes_risk_factor	mso:medicine.risk_factor
mso:religion.deity	mso:religion.deity.planet	mso:astronomy.planet
mso:local.entity	mso:local.entity.opening_date	mso:type.datetime
mso:astronomy.asteroid_family	mso:astronomy.asteroid_family.asteroid_family_member	mso:astronomy.asteroid
mso:local.restaurant	dev:local.restaurant.chef	mso:food.chef
experimental:fb_schema_staging.holiday_occurrence	experimental:fb_schema_staging.holiday_occurrence.same_day	mso:type.boolean
mso:education.academic_post	mso:education.academic_post.from	mso:type.datetime
mso:aviation.aircraft_model	mso:aviation.aircraft_model.manufacturer	mso:aviation.aircraft_manufacturer
mso:education.school	conflation:education.school.latitude	mso:type.string
mso:book.journal	mso:book.journal.place_of_publication	mso:book.place_of_publication_period
mso:astronomy.orbital_relationship	mso:astronomy.orbital_relationship.mean_orbital_speed	mso:type.decimal
mso:cricket.match	mso:cricket.match.match_type	mso:cricket.match_type
mso:biology.taxonomic_authority	mso:biology.taxonomic_authority.taxonomic_placement	mso:biology.organism_classification_placement
mso:local.restaurant	dev:local.restaurant.reservation_policy_free_text	mso:type.text
mso:fictional_universe.job_title	mso:fictional_universe.job_title.fictional_characters_with_this_job	mso:fictional_universe.employment_tenure
mso:book.author	mso:book.author.coauthor	mso:book.author
mso:local.entity	dev:local.entity.email_address	mso:common.email_address
mso:business.market_size	mso:business.market_size.currency	mso:finance.currency
mso:exhibitions.exhibition	mso:exhibitions.exhibition.produced_by	mso:event.agent
mso:measurement_unit.rect_size	mso:measurement_unit.rect_size.x	mso:type.decimal
mso:sports.fishing_site	mso:sports.fishing_site.water_type	mso:type.text
